#	Label	Interval	Total	Recorded
	Start	---	---	Thu, Jul 6, 2017 at 13:53:08.900
1	Split	00:00:01.105	00:00:01.105	Thu, Jul 6, 2017 at 13:53:10.005
2	Split	00:00:02.095	00:00:03.200	Thu, Jul 6, 2017 at 13:53:12.100
3	Split	00:00:00.281	00:00:03.481	Thu, Jul 6, 2017 at 13:53:12.381
4	Split	00:00:01.183	00:00:04.664	Thu, Jul 6, 2017 at 13:53:13.564
5	Split	00:00:00.289	00:00:04.953	Thu, Jul 6, 2017 at 13:53:13.853
6	Split	00:00:00.175	00:00:05.128	Thu, Jul 6, 2017 at 13:53:14.028
7	Split	00:00:00.488	00:00:05.616	Thu, Jul 6, 2017 at 13:53:14.516
8	Split	00:00:00.480	00:00:06.096	Thu, Jul 6, 2017 at 13:53:14.996
9	Split	00:00:00.464	00:00:06.560	Thu, Jul 6, 2017 at 13:53:15.460
10	Split	00:00:00.488	00:00:07.048	Thu, Jul 6, 2017 at 13:53:15.948
11	Split	00:00:00.472	00:00:07.520	Thu, Jul 6, 2017 at 13:53:16.420
12	Split	00:00:00.505	00:00:08.025	Thu, Jul 6, 2017 at 13:53:16.925
13	Split	00:00:00.265	00:00:08.290	Thu, Jul 6, 2017 at 13:53:17.190
14	Split	00:00:01.655	00:00:09.945	Thu, Jul 6, 2017 at 13:53:18.845
15	Split	00:00:01.872	00:00:11.817	Thu, Jul 6, 2017 at 13:53:20.717
16	Split	00:00:00.232	00:00:12.049	Thu, Jul 6, 2017 at 13:53:20.949
17	Split	00:00:01.248	00:00:13.297	Thu, Jul 6, 2017 at 13:53:22.197
18	Split	00:00:00.272	00:00:13.569	Thu, Jul 6, 2017 at 13:53:22.469
19	Split	00:00:00.216	00:00:13.785	Thu, Jul 6, 2017 at 13:53:22.685
20	Split	00:00:00.455	00:00:14.240	Thu, Jul 6, 2017 at 13:53:23.140
21	Split	00:00:00.465	00:00:14.705	Thu, Jul 6, 2017 at 13:53:23.606
22	Split	00:00:00.479	00:00:15.184	Thu, Jul 6, 2017 at 13:53:24.084
23	Split	00:00:00.512	00:00:15.696	Thu, Jul 6, 2017 at 13:53:24.596
24	Split	00:00:00.432	00:00:16.128	Thu, Jul 6, 2017 at 13:53:25.028
25	Split	00:00:00.528	00:00:16.656	Thu, Jul 6, 2017 at 13:53:25.556
