#	Label	Interval	Total	Recorded
	Start	---	---	Thu, Jul 6, 2017 at 13:56:58.344
1	Split	00:00:57.839	00:00:57.839	Thu, Jul 6, 2017 at 13:57:56.183
2	Split	00:00:00.498	00:00:58.337	Thu, Jul 6, 2017 at 13:57:56.681
3	Split	00:00:00.504	00:00:58.841	Thu, Jul 6, 2017 at 13:57:57.185
4	Split	00:00:01.207	00:01:00.048	Thu, Jul 6, 2017 at 13:57:58.392
5	Split	00:00:00.225	00:01:00.273	Thu, Jul 6, 2017 at 13:57:58.617
6	Split	00:00:00.264	00:01:00.537	Thu, Jul 6, 2017 at 13:57:58.881
7	Split	00:00:00.271	00:01:00.808	Thu, Jul 6, 2017 at 13:57:59.152
8	Split	00:00:00.447	00:01:01.255	Thu, Jul 6, 2017 at 13:57:59.599
9	Split	00:00:00.488	00:01:01.743	Thu, Jul 6, 2017 at 13:58:00.087
10	Split	00:00:00.480	00:01:02.223	Thu, Jul 6, 2017 at 13:58:00.567
11	Split	00:00:00.360	00:01:02.583	Thu, Jul 6, 2017 at 13:58:00.927
12	Split	00:00:00.153	00:01:02.736	Thu, Jul 6, 2017 at 13:58:01.080
13	Split	00:00:01.167	00:01:03.903	Thu, Jul 6, 2017 at 13:58:02.247
14	Split	00:00:00.241	00:01:04.144	Thu, Jul 6, 2017 at 13:58:02.488
15	Split	00:00:00.216	00:01:04.360	Thu, Jul 6, 2017 at 13:58:02.704
16	Split	00:00:00.263	00:01:04.623	Thu, Jul 6, 2017 at 13:58:02.967
17	Split	00:00:00.296	00:01:04.919	Thu, Jul 6, 2017 at 13:58:03.263
18	Split	00:00:00.168	00:01:05.087	Thu, Jul 6, 2017 at 13:58:03.431
19	Split	00:00:00.480	00:01:05.567	Thu, Jul 6, 2017 at 13:58:03.911
20	Split	00:00:00.464	00:01:06.031	Thu, Jul 6, 2017 at 13:58:04.375
21	Split	00:00:00.128	00:01:06.159	Thu, Jul 6, 2017 at 13:58:04.503
22	Split	00:00:00.160	00:01:06.319	Thu, Jul 6, 2017 at 13:58:04.663
23	Split	00:00:00.224	00:01:06.543	Thu, Jul 6, 2017 at 13:58:04.887
24	Split	00:00:01.152	00:01:07.695	Thu, Jul 6, 2017 at 13:58:06.039
25	Split	00:00:00.272	00:01:07.967	Thu, Jul 6, 2017 at 13:58:06.311
26	Split	00:00:00.232	00:01:08.199	Thu, Jul 6, 2017 at 13:58:06.543
27	Split	00:00:00.265	00:01:08.464	Thu, Jul 6, 2017 at 13:58:06.808
28	Split	00:00:00.439	00:01:08.903	Thu, Jul 6, 2017 at 13:58:07.247
29	Split	00:00:00.512	00:01:09.415	Thu, Jul 6, 2017 at 13:58:07.759
30	Split	00:00:00.480	00:01:09.895	Thu, Jul 6, 2017 at 13:58:08.239
31	Split	00:00:00.352	00:01:10.247	Thu, Jul 6, 2017 at 13:58:08.591
32	Split	00:00:00.160	00:01:10.407	Thu, Jul 6, 2017 at 13:58:08.751
33	Split	00:00:01.151	00:01:11.558	Thu, Jul 6, 2017 at 13:58:09.903
34	Split	00:00:00.249	00:01:11.807	Thu, Jul 6, 2017 at 13:58:10.151
35	Split	00:00:00.168	00:01:11.975	Thu, Jul 6, 2017 at 13:58:10.319
36	Split	00:00:00.311	00:01:12.286	Thu, Jul 6, 2017 at 13:58:10.630
37	Split	00:00:00.321	00:01:12.607	Thu, Jul 6, 2017 at 13:58:10.951
38	Split	00:00:00.160	00:01:12.767	Thu, Jul 6, 2017 at 13:58:11.111
39	Split	00:00:00.455	00:01:13.222	Thu, Jul 6, 2017 at 13:58:11.566
40	Split	00:00:00.472	00:01:13.694	Thu, Jul 6, 2017 at 13:58:12.038
41	Split	00:00:00.144	00:01:13.838	Thu, Jul 6, 2017 at 13:58:12.182
42	Split	00:00:00.145	00:01:13.983	Thu, Jul 6, 2017 at 13:58:12.327
43	Split	00:00:00.271	00:01:14.254	Thu, Jul 6, 2017 at 13:58:12.598
44	Split	00:00:01.144	00:01:15.398	Thu, Jul 6, 2017 at 13:58:13.742
45	Split	00:00:00.249	00:01:15.647	Thu, Jul 6, 2017 at 13:58:13.991
46	Split	00:00:00.232	00:01:15.879	Thu, Jul 6, 2017 at 13:58:14.223
47	Split	00:00:00.264	00:01:16.143	Thu, Jul 6, 2017 at 13:58:14.487
48	Split	00:00:00.465	00:01:16.608	Thu, Jul 6, 2017 at 13:58:14.952
49	Split	00:00:00.503	00:01:17.111	Thu, Jul 6, 2017 at 13:58:15.455
50	Split	00:00:00.456	00:01:17.567	Thu, Jul 6, 2017 at 13:58:15.911
